CODICE_CANTIERE;DESCRIZIONE_CANTIERE;IMPORTO_LAVORI;DURATA_LAVORI;DATA_INIZIO_LAVORI;DATA_FINE_LAVORI;VERSIONE;TIPO_SORGENTE
10005/2012;;150000.00;7;2012-03-22 00:00.000000;2012-10-22 00:00.000000;0;NOP
10005/2013;;40000.00;4;2013-03-13 00:00.000000;2013-07-13 00:00.000000;0;NOP
10005/2014;;147574.00;180;2014-03-18 00:00.000000;2014-09-14 00:00.000000;0;NOP
10005/2015;;20000.00;24;2013-08-03 00:00.000000;2015-08-03 00:00.000000;0;NOP
10005/2016;;132408980.76;125;2016-03-07 00:00.000000;2016-07-10 00:00.000000;0;NOP
10005/2017;;10000.00;15;2017-03-20 00:00.000000;2017-04-04 00:00.000000;0;NOP
10005/2018;;50000.00;0;2018-04-05 00:00.000000;2018-05-05 00:00.000000;0;NOP
10005/2019;;35000.00;40;2019-03-08 00:00.000000;2019-04-17 00:00.000000;0;NOP
10005/2020;;350000.00;90;2020-02-24 00:00.000000;2020-05-24 00:00.000000;0;NOP
10006/2010;;20000.00;1;2010-03-09 00:00.000000;2010-04-09 00:00.000000;0;NOP
10006/2012;;40000.00;2;2012-03-19 00:00.000000;2012-05-19 00:00.000000;0;NOP
10006/2013;;40000.00;3;2013-03-15 00:00.000000;2013-06-15 00:00.000000;0;NOP
10006/2014;;100000.00;5;2014-03-19 00:00.000000;2014-08-19 00:00.000000;0;NOP
10006/2015;;105000.00;2;2015-03-12 00:00.000000;2015-05-12 00:00.000000;0;NOP
10006/2016;;20000.00;6;2016-03-14 00:00.000000;2016-09-14 00:00.000000;0;NOP
